model_family,api_group,name
afmoe,torch,arange
afmoe,torch,cat
afmoe,torch,empty
afmoe,torch,greater
afmoe,torch,matmul
afmoe,torch,no_grad
afmoe,torch,ones
afmoe,torch,rsqrt
afmoe,torch,sigmoid
afmoe,torch,topk
afmoe,torch,where
afmoe,torch,zeros
afmoe,torch,zeros_like
afmoe,torch.Tensor,chunk
afmoe,torch.Tensor,clone
afmoe,torch.Tensor,contiguous
afmoe,torch.Tensor,cos
afmoe,torch.Tensor,expand
afmoe,torch.Tensor,float
afmoe,torch.Tensor,gather
afmoe,torch.Tensor,index_add_
afmoe,torch.Tensor,mean
afmoe,torch.Tensor,nonzero
afmoe,torch.Tensor,normal_
afmoe,torch.Tensor,permute
afmoe,torch.Tensor,pow
afmoe,torch.Tensor,reshape
afmoe,torch.Tensor,sin
afmoe,torch.Tensor,sum
afmoe,torch.Tensor,to
afmoe,torch.Tensor,transpose
afmoe,torch.Tensor,unsqueeze
afmoe,torch.Tensor,view
afmoe,torch.nn,Embedding
afmoe,torch.nn,Linear
afmoe,torch.nn,ModuleList
afmoe,torch.nn,Parameter
afmoe,torch.nn.functional,one_hot
aimv2,torch,arange
aimv2,torch,cat
aimv2,torch,matmul
aimv2,torch,meshgrid
aimv2,torch,no_grad
aimv2,torch,ones
aimv2,torch,pow
aimv2,torch,rsqrt
aimv2,torch,sum
aimv2,torch,tensor
aimv2,torch,zeros
aimv2,torch.Tensor,argmax
aimv2,torch.Tensor,contiguous
aimv2,torch.Tensor,copy_
aimv2,torch.Tensor,cos
aimv2,torch.Tensor,exp
aimv2,torch.Tensor,expand
aimv2,torch.Tensor,flatten
aimv2,torch.Tensor,int
aimv2,torch.Tensor,mean
aimv2,torch.Tensor,normal_
aimv2,torch.Tensor,outer
aimv2,torch.Tensor,permute
aimv2,torch.Tensor,pow
aimv2,torch.Tensor,reshape
aimv2,torch.Tensor,sin
aimv2,torch.Tensor,size
aimv2,torch.Tensor,t
aimv2,torch.Tensor,to
aimv2,torch.Tensor,transpose
aimv2,torch.Tensor,unsqueeze
aimv2,torch.Tensor,view
aimv2,torch.nn,Conv2d
aimv2,torch.nn,Embedding
aimv2,torch.nn,Linear
aimv2,torch.nn,ModuleList
aimv2,torch.nn,Parameter
aimv2,torch.nn.functional,scaled_dot_product_attention
albert,torch,arange
albert,torch,gather
albert,torch,matmul
albert,torch,no_grad
albert,torch,zeros
albert,torch.Tensor,clamp
albert,torch.Tensor,contiguous
albert,torch.Tensor,copy_
albert,torch.Tensor,expand
albert,torch.Tensor,normal_
albert,torch.Tensor,reshape
albert,torch.Tensor,size
albert,torch.Tensor,split
albert,torch.Tensor,squeeze
albert,torch.Tensor,transpose
albert,torch.Tensor,view
albert,torch.nn,BCEWithLogitsLoss
albert,torch.nn,CrossEntropyLoss
albert,torch.nn,Dropout
albert,torch.nn,Embedding
albert,torch.nn,LayerNorm
albert,torch.nn,Linear
albert,torch.nn,MSELoss
albert,torch.nn,ModuleList
albert,torch.nn,Parameter
albert,torch.nn,Tanh
align,torch,arange
align,torch,matmul
align,torch,mul
align,torch,no_grad
align,torch,ones
align,torch,tensor
align,torch,zeros
align,torch.Tensor,contiguous
align,torch.Tensor,copy_
align,torch.Tensor,expand
align,torch.Tensor,norm
align,torch.Tensor,normal_
align,torch.Tensor,reshape
align,torch.Tensor,size
align,torch.Tensor,t
align,torch.Tensor,to
align,torch.Tensor,transpose
align,torch.Tensor,view
align,torch.nn,AdaptiveAvgPool2d
align,torch.nn,AvgPool2d
align,torch.nn,BatchNorm2d
align,torch.nn,Conv2d
align,torch.nn,Dropout
align,torch.nn,Embedding
align,torch.nn,LayerNorm
align,torch.nn,Linear
align,torch.nn,MaxPool2d
align,torch.nn,ModuleList
align,torch.nn,Parameter
align,torch.nn,Sigmoid
align,torch.nn,Tanh
align,torch.nn,ZeroPad2d
altclip,torch,arange
altclip,torch,cat
altclip,torch,cumsum
altclip,torch,gather
altclip,torch,matmul
altclip,torch,no_grad
altclip,torch,pow
altclip,torch,randn
altclip,torch,sum
altclip,torch,tensor
altclip,torch,zeros
altclip,torch.Tensor,contiguous
altclip,torch.Tensor,copy_
altclip,torch.Tensor,expand
altclip,torch.Tensor,flatten
altclip,torch.Tensor,int
altclip,torch.Tensor,long
altclip,torch.Tensor,ne
altclip,torch.Tensor,normal_
altclip,torch.Tensor,permute
altclip,torch.Tensor,reshape
altclip,torch.Tensor,size
altclip,torch.Tensor,t
altclip,torch.Tensor,to
altclip,torch.Tensor,transpose
altclip,torch.Tensor,type_as
altclip,torch.Tensor,unsqueeze
altclip,torch.Tensor,view
altclip,torch.nn,Conv2d
altclip,torch.nn,Dropout
altclip,torch.nn,Embedding
altclip,torch.nn,LayerNorm
altclip,torch.nn,Linear
altclip,torch.nn,ModuleList
altclip,torch.nn,Parameter
altclip,torch.nn,Tanh
apertus,torch,arange
apertus,torch,cat
apertus,torch,matmul
apertus,torch,no_grad
apertus,torch,ones
apertus,torch,rsqrt
apertus,torch.Tensor,clone
apertus,torch.Tensor,contiguous
apertus,torch.Tensor,cos
apertus,torch.Tensor,expand
apertus,torch.Tensor,float
apertus,torch.Tensor,mean
apertus,torch.Tensor,pow
apertus,torch.Tensor,reshape
apertus,torch.Tensor,sin
apertus,torch.Tensor,to
apertus,torch.Tensor,transpose
apertus,torch.Tensor,unsqueeze
apertus,torch.Tensor,view
apertus,torch.nn,Embedding
apertus,torch.nn,Linear
apertus,torch.nn,ModuleList
apertus,torch.nn,Parameter
arcee,torch,arange
arcee,torch,cat
arcee,torch,matmul
arcee,torch,no_grad
arcee,torch,ones
arcee,torch,rsqrt
arcee,torch.Tensor,clone
arcee,torch.Tensor,contiguous
arcee,torch.Tensor,cos
arcee,torch.Tensor,expand
arcee,torch.Tensor,float
arcee,torch.Tensor,mean
arcee,torch.Tensor,pow
arcee,torch.Tensor,reshape
arcee,torch.Tensor,sin
arcee,torch.Tensor,to
arcee,torch.Tensor,transpose
arcee,torch.Tensor,unsqueeze
arcee,torch.Tensor,view
arcee,torch.nn,Embedding
arcee,torch.nn,Linear
arcee,torch.nn,ModuleList
arcee,torch.nn,Parameter
aria,torch,arange
aria,torch,argsort
aria,torch,cat
aria,torch,chunk
aria,torch,cumsum
aria,torch,empty
aria,torch,histc
aria,torch,logical_not
aria,torch,matmul
aria,torch,no_grad
aria,torch,ones
aria,torch,rsqrt
aria,torch,tensor
aria,torch,topk
aria,torch,zeros
aria,torch.Tensor,all
aria,torch.Tensor,bool
aria,torch.Tensor,clone
aria,torch.Tensor,contiguous
aria,torch.Tensor,cos
aria,torch.Tensor,cpu
aria,torch.Tensor,expand
aria,torch.Tensor,expand_as
aria,torch.Tensor,flatten
aria,torch.Tensor,float
aria,torch.Tensor,index_copy_
aria,torch.Tensor,index_select
aria,torch.Tensor,masked_scatter
aria,torch.Tensor,mean
aria,torch.Tensor,normal_
aria,torch.Tensor,numel
aria,torch.Tensor,pow
aria,torch.Tensor,repeat
aria,torch.Tensor,repeat_interleave
aria,torch.Tensor,reshape
aria,torch.Tensor,sin
aria,torch.Tensor,size
aria,torch.Tensor,sum
aria,torch.Tensor,to
aria,torch.Tensor,transpose
aria,torch.Tensor,unfold
aria,torch.Tensor,unsqueeze
aria,torch.Tensor,view
aria,torch.nn,Dropout
aria,torch.nn,Embedding
aria,torch.nn,LayerNorm
aria,torch.nn,Linear
aria,torch.nn,ModuleList
aria,torch.nn,MultiheadAttention
aria,torch.nn,Parameter
audio_spectrogram_transformer,torch,cat
audio_spectrogram_transformer,torch,matmul
audio_spectrogram_transformer,torch,no_grad
audio_spectrogram_transformer,torch,zeros
audio_spectrogram_transformer,torch.Tensor,contiguous
audio_spectrogram_transformer,torch.Tensor,flatten
audio_spectrogram_transformer,torch.Tensor,reshape
audio_spectrogram_transformer,torch.Tensor,size
audio_spectrogram_transformer,torch.Tensor,to
audio_spectrogram_transformer,torch.Tensor,transpose
audio_spectrogram_transformer,torch.Tensor,unsqueeze
audio_spectrogram_transformer,torch.Tensor,view
audio_spectrogram_transformer,torch.nn,Conv2d
audio_spectrogram_transformer,torch.nn,Dropout
audio_spectrogram_transformer,torch.nn,Identity
audio_spectrogram_transformer,torch.nn,LayerNorm
audio_spectrogram_transformer,torch.nn,Linear
audio_spectrogram_transformer,torch.nn,ModuleList
audio_spectrogram_transformer,torch.nn,Parameter
audioflamingo3,torch,arange
audioflamingo3,torch,clamp
audioflamingo3,torch,finfo
audioflamingo3,torch,matmul
audioflamingo3,torch,rand
audioflamingo3,torch,tensor
audioflamingo3,torch.Tensor,all
audioflamingo3,torch.Tensor,contiguous
audioflamingo3,torch.Tensor,expand_as
audioflamingo3,torch.Tensor,masked_scatter
audioflamingo3,torch.Tensor,numel
audioflamingo3,torch.Tensor,permute
audioflamingo3,torch.Tensor,reshape
audioflamingo3,torch.Tensor,size
audioflamingo3,torch.Tensor,sum
audioflamingo3,torch.Tensor,to
audioflamingo3,torch.Tensor,transpose
audioflamingo3,torch.Tensor,unsqueeze
audioflamingo3,torch.Tensor,view
audioflamingo3,torch.nn,AvgPool1d
audioflamingo3,torch.nn,Conv1d
audioflamingo3,torch.nn,Embedding
audioflamingo3,torch.nn,LayerNorm
audioflamingo3,torch.nn,Linear
audioflamingo3,torch.nn,ModuleList
autoformer,torch,FloatTensor
autoformer,torch,arange
autoformer,torch,cat
autoformer,torch,chunk
autoformer,torch,clamp
autoformer,torch,conj
autoformer,torch,empty
autoformer,torch,finfo
autoformer,torch,gather
autoformer,torch,isfinite
autoformer,torch,mean
autoformer,torch,no_grad
autoformer,torch,ones_like
autoformer,torch,rand
autoformer,torch,softmax
autoformer,torch,sqrt
autoformer,torch,squeeze
autoformer,torch,stack
autoformer,torch,topk
autoformer,torch,where
autoformer,torch,zeros
autoformer,torch,zeros_like
autoformer,torch.Tensor,abs
autoformer,torch.Tensor,all
autoformer,torch.Tensor,clamp_min
autoformer,torch.Tensor,contiguous
autoformer,torch.Tensor,copy_
autoformer,torch.Tensor,expand
autoformer,torch.Tensor,float
autoformer,torch.Tensor,log
autoformer,torch.Tensor,log1p
autoformer,torch.Tensor,mean
autoformer,torch.Tensor,min
autoformer,torch.Tensor,normal_
autoformer,torch.Tensor,permute
autoformer,torch.Tensor,repeat
autoformer,torch.Tensor,repeat_interleave
autoformer,torch.Tensor,reshape
autoformer,torch.Tensor,roll
autoformer,torch.Tensor,size
autoformer,torch.Tensor,squeeze
autoformer,torch.Tensor,sum
autoformer,torch.Tensor,to
autoformer,torch.Tensor,transpose
autoformer,torch.Tensor,unsqueeze
autoformer,torch.Tensor,view
autoformer,torch.nn,AvgPool1d
autoformer,torch.nn,Conv1d
autoformer,torch.nn,Embedding
autoformer,torch.nn,LayerNorm
autoformer,torch.nn,Linear
autoformer,torch.nn,ModuleList
aya_vision,torch,cat
aya_vision,torch,tensor
aya_vision,torch.Tensor,all
aya_vision,torch.Tensor,chunk
aya_vision,torch.Tensor,expand_as
aya_vision,torch.Tensor,masked_scatter
aya_vision,torch.Tensor,numel
aya_vision,torch.Tensor,permute
aya_vision,torch.Tensor,reshape
aya_vision,torch.Tensor,sum
aya_vision,torch.Tensor,to
aya_vision,torch.Tensor,unsqueeze
aya_vision,torch.nn,LayerNorm
aya_vision,torch.nn,Linear
bamba,torch,all
bamba,torch,arange
bamba,torch,bmm
bamba,torch,cat
bamba,torch,clamp
bamba,torch,cumsum
bamba,torch,exp
bamba,torch,log
bamba,torch,matmul
bamba,torch,no_grad
bamba,torch,ones
bamba,torch,rsqrt
bamba,torch,split
bamba,torch,sum
bamba,torch,tril
bamba,torch,zeros_like
bamba,torch.Tensor,clone
bamba,torch.Tensor,contiguous
bamba,torch.Tensor,copy_
bamba,torch.Tensor,cos
bamba,torch.Tensor,expand
bamba,torch.Tensor,float
bamba,torch.Tensor,logsumexp
bamba,torch.Tensor,masked_fill
bamba,torch.Tensor,mean
bamba,torch.Tensor,permute
bamba,torch.Tensor,pow
bamba,torch.Tensor,reshape
bamba,torch.Tensor,sin
bamba,torch.Tensor,size
bamba,torch.Tensor,split
bamba,torch.Tensor,squeeze
bamba,torch.Tensor,sum
bamba,torch.Tensor,to
bamba,torch.Tensor,transpose
bamba,torch.Tensor,unsqueeze
bamba,torch.Tensor,view
bamba,torch.nn,Conv1d
bamba,torch.nn,Embedding
bamba,torch.nn,Linear
bamba,torch.nn,ModuleList
bamba,torch.nn,Parameter
bamba,torch.nn.functional,pad
bamba,torch.nn.functional,softplus
bark,torch,arange
bark,torch,argmax
bark,torch,cat
bark,torch,device
bark,torch,finfo
bark,torch,floor
bark,torch,full
bark,torch,hstack
bark,torch,matmul
bark,torch,max
bark,torch,multinomial
bark,torch,no_grad
bark,torch,ones
bark,torch,remainder
bark,torch,repeat_interleave
bark,torch,round
bark,torch,tensor
bark,torch,transpose
bark,torch,tril
bark,torch.Tensor,bool
bark,torch.Tensor,clone
bark,torch.Tensor,contiguous
bark,torch.Tensor,copy_
bark,torch.Tensor,int
bark,torch.Tensor,item
bark,torch.Tensor,masked_fill
bark,torch.Tensor,masked_fill_
bark,torch.Tensor,permute
bark,torch.Tensor,reshape
bark,torch.Tensor,size
bark,torch.Tensor,split
bark,torch.Tensor,squeeze
bark,torch.Tensor,sum
bark,torch.Tensor,to
bark,torch.Tensor,transpose
bark,torch.Tensor,unsqueeze
bark,torch.Tensor,view
bark,torch.nn,Dropout
bark,torch.nn,Embedding
bark,torch.nn,GELU
bark,torch.nn,LayerNorm
bark,torch.nn,Linear
bark,torch.nn,ModuleList
bark,torch.nn.functional,pad
bark,torch.nn.functional,softmax
bart,torch,arange
bart,torch,cat
bart,torch,clamp
bart,torch,finfo
bart,torch,isfinite
bart,torch,matmul
bart,torch,ones
bart,torch,rand
bart,torch,tanh
bart,torch,tensor
bart,torch,unique_consecutive
bart,torch,zeros
bart,torch.Tensor,all
bart,torch.Tensor,clamp
bart,torch.Tensor,clone
bart,torch.Tensor,contiguous
bart,torch.Tensor,eq
bart,torch.Tensor,expand
bart,torch.Tensor,masked_fill_
bart,torch.Tensor,ne
bart,torch.Tensor,new_zeros
bart,torch.Tensor,numel
bart,torch.Tensor,reshape
bart,torch.Tensor,size
bart,torch.Tensor,split
bart,torch.Tensor,squeeze
bart,torch.Tensor,sum
bart,torch.Tensor,to
bart,torch.Tensor,transpose
bart,torch.Tensor,unsqueeze
bart,torch.Tensor,view
bart,torch.nn,BCEWithLogitsLoss
bart,torch.nn,CrossEntropyLoss
bart,torch.nn,Dropout
bart,torch.nn,LayerNorm
bart,torch.nn,Linear
bart,torch.nn,MSELoss
bart,torch.nn,ModuleList
beit,torch,arange
beit,torch,cat
beit,torch,flatten
beit,torch,floor
beit,torch,matmul
beit,torch,meshgrid
beit,torch,no_grad
beit,torch,ones
beit,torch,rand
beit,torch,stack
beit,torch,zeros
beit,torch.Tensor,contiguous
beit,torch.Tensor,div
beit,torch.Tensor,flatten
beit,torch.Tensor,mean
beit,torch.Tensor,permute
beit,torch.Tensor,reshape
beit,torch.Tensor,size
beit,torch.Tensor,squeeze
beit,torch.Tensor,sum
beit,torch.Tensor,to
beit,torch.Tensor,transpose
beit,torch.Tensor,type_as
beit,torch.Tensor,unsqueeze
